Voted_Candidate,Reason_for_Choosing,Winning_Party_Guess,Most_Important_Issue_to_be_Addressed,Age,Gender,Religion,Race,Highest_Educational_Qualification,Occupation,District
Gotabhaya Rajapaksha (SLPP),Intelligent and good personality.,Sri Lanka Podujana Peramuna (SLPP),Development of the Country,27,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Galle
Gotabhaya Rajapaksha (SLPP),Issues in national security,Sri Lanka Podujana Peramuna (SLPP),National Security,27,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Gotabhaya Rajapaksha (SLPP),He is experienced and educated. Has a vision about how to develop the country.,Sri Lanka Podujana Peramuna (SLPP),Development of the Country,28,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Galle
Gotabhaya Rajapaksha (SLPP),His clear vision of development and proven actions that showed he can change the country.,Sri Lanka Podujana Peramuna (SLPP),Financial Stability and Freedom,29,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Galle
Gotabhaya Rajapaksha (SLPP),it will be the best option at the moment,Sri Lanka Podujana Peramuna (SLPP),National Security,25,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Hambantota
Gotabhaya Rajapaksha (SLPP),Proven track record,Sri Lanka Podujana Peramuna (SLPP),Development of the Country,26,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Galle
Anura Kumara Dissanayake (NPP),He has a clear vision,National People's Party (NPP),National Security,26,Male,Islam,Sri Lankan Moor,Graduate / Professional,Employed in the Private Sector,Gampaha
Other,Still not in a position to decide who deserves the presidentship... In my view no nominee is capable of do something effective to the country.,Other,"Employment opportunities, financial stability and freedom, corruption",27,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
General Mahesh Senanayake (NPM),Since he has some educated people around him,Sri Lanka Podujana Peramuna (SLPP),Development of the Country,27,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Matara
Gotabhaya Rajapaksha (SLPP),,Sri Lanka Podujana Peramuna (SLPP),National Security,27,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Other,,Other,Corruption,27,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Kalutara
General Mahesh Senanayake (NPM),Others are not upto the expected standard,New Democratic Front (NDF),Corruption,26,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Anura Kumara Dissanayake (NPP),Need to reject two main political parties,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Religious Issues, Financial Stability and Freedom, International Involvements",33,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Nuwara Eliya
Gotabhaya Rajapaksha (SLPP),He is proved example when it compare with the other candidate,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country, Employment Opportunities, Ethnic Issues, Religious Issues, International Involvements, Financial Stability and Freedom, Corruption, Security",34,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Other,I cannot decide because I have to choose the best from the worst ,Other,"National Security, Living Expenses, Development of the Country, Employment Opportunities, Ethnic Issues, Religious Issues, International Involvements, Financial Stability and Freedom, Corruption, Security",30,Female,Atheist,Sri Lankan Tamil,Graduate / Professional,Employed in the Private Sector,Colombo
Other,,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country, Employment Opportunities, Ethnic Issues, Religious Issues, International Involvements, Financial Stability and Freedom, Corruption",25,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Matara
